kod_kreskowy,nazwa_produktu,opis,cena
5902487909720,"Zestaw mini Bo¿e Narodzenie, czerwony","18,49",ZS-BN-CZ
5902487909737,"Zestaw mini Bo¿e Narodzenie, niebieski","18,49",ZS-BN-N
5902487909744,"Zestaw mini Bo¿e Narodzenie, zielony","18,49",ZS-BN-Z
5902487908792,"Naklejka A¿urowa ""Gwiazda 3"" - Srebrna","2,35",0102S
5902487908938,"Naklejka A¿urowa ""Gwiazda 3"" - Z³ota","2,35",0102Z
5902487908822,"Naklejka A¿urowa ""Szlaczek"" - Srebrna","2,35",0103S
5902487908914,"Naklejka A¿urowa ""Szlaczek"" - Z³ota","2,35",0103Z
5902487908846,"Naklejka A¿urowa ""Dzwonki 1"" - Srebrna","2,35",1653S
5902487908952,"Naklejka A¿urowa ""Dzwonki 1"" - Z³ota","2,35",1653Z
5902487908877,"Naklejka A¿urowa ""Sanki 1"" -Srebrna","2,35",1672S
5902487908051,"Naklejka A¿urowa ""Sanki 1"" - Z³ota","2,35",1672Z
5902487910474,"Naklejka A¿urowa ""Naro¿niki 1"" - Srebrna","2,35",1674S
5902487910481,"Naklejka A¿urowa ""Naro¿niki 1"" - Z³ota","2,35",1674Z
5902487908709,"Naklejka A¿urowa ""Choinki 1"" - Srebrna","2,35",1721S
5902487908716,"Naklejka A¿urowa ""Choinki 1"" - Z³ota","2,35",1721Z
5902487908815,"Naklejka A¿urowa ""Pejza¿ zimowy"" - Srebrna","2,35",1732S
5902487908020,"Naklejka A¿urowa ""Pejza¿ zimowy"" - Z³ota","2,35",1732Z
5902487908761,"Naklejka A¿urowa ""Gwiazdor"" - Srebrna","2,35",1754S
5902487908068,"Naklejka A¿urowa ""Gwiazdor"" - Z³ota","2,35",1754Z
,"Naklejka A¿urowa ""Konie"" - Z³ota","2,35",1796Z
,"Naklejka A¿urowa ""Kotki"" - Z³ota","2,35",1797Z
5902487908884,"Naklejka A¿urowa ""Narciarze"" - Srebrna","2,35",1813S
5902487908969,"Naklejka A¿urowa ""Narciarze"" - Z³ota","2,35",1813Z
5902487908778,"Naklejka A¿urowa ""Anio³ek Mix"" - Srebrna","2,35",1867S
5902487908044,"Naklejka A¿urowa ""Anio³ek Mix"" - Z³ota","2,35",1867Z
5902487908860,"Naklejka A¿urowa ""Bombki 1"" - Srebrna","2,35",1875S
5902487908037,"Naklejka A¿urowa ""Bombki 1"" - Z³ota","2,35",1875Z
5902487908839,"Naklejka A¿urowa ""Ba³wan mix"" - Srebrna","2,35",1881S
5902487908945,"Naklejka A¿urowa ""Ba³wan mix"" - Z³ota","2,35",1881Z
,"Naklejka A¿urowa ""Naro¿niki 2"" - Srebrna","2,35",1888S
,"Naklejka A¿urowa ""Naro¿niki 2"" - Z³ota","2,35",1888Z
,"Naklejka A¿urowa ""Naro¿niki 3"" - Srebrna","2,35",1889S
,"Naklejka A¿urowa ""Naro¿niki 3"" - Z³ota","2,35",1889Z
,"Naklejka A¿urowa ""Konie"" - Srebrna","2,35",2105S
,"Naklejka A¿urowa ""Konie"" - Z³ota","2,35",2105Z
5902487908907,"Naklejka A¿urowa ""Œwiece 1"" - Srebrna","2,35",2139S
5902487908921,"Naklejka A¿urowa ""Œwiece 1"" - Z³ota","2,35",2139Z
5902487908808,"Naklejka A¿urowa ""Anio³ek 1"" - Srebrna","2,35",2274S
5902487908891,"Naklejka A¿urowa ""Anio³ek 1"" - Z³ota","2,35",2274Z
5902487908785,"Naklejka A¿urowa ""Szczêœliwego Nowego Roku"" - Srebrna","2,35",7902S
5902487908853,"Naklejka A¿urowa ""Szczêœliwego Nowego Roku"" - Z³ota","2,35",7902Z
,"Naklejka Dwustronnie Klej¹ca, Serduszka","2,25",HZOK-0008
,"Naklejka Dwustronnie Klej¹ca, Kwiatki","2,25",HZOK-0009
,"Naklejka Dwustronnie Klej¹ca, Kwiaty","2,25",HZOK-0017
,"Naklejka Dwustronnie Klej¹ca, Szlaczek","2,25",HZOK-0062
,"Naklejka Dwustronnie Klej¹ca, Szlaczek","2,25",HZOK-0064
,"Naklejka Dwustronnie Klej¹ca, Szlaczek","2,25",HZOK-0065
,"Naklejka Dwustronnie Klej¹ca, Szlaczek","2,25",HZOK-0070
,"Naklejka Dwustronnie Klej¹ca, Go³¹bki","2,25",HZOK-0074
,"Naklejka Dwustronnie Klej¹ca, Kwiatki","2,25",HZOK-0119
,"Naklejka Dwustronnie Klej¹ca, Baloniki","2,25",HZOK-0141
,"Naklejka Dwustronnie Klej¹ca, Bombki","2,25",HZOK-0146
3553231629122,"No¿yczki z miark¹ 5 Star, 30 szt/kpl.","44,40",602176
4027521101197,Linia³ elastyczny Twist-It 30 cm,"5,58",E-10119
4027521131019,No¿yczki do ciêæ precyzyjnych,"6,30",E-13101
4027521131033,No¿yczki z pêtl¹,"5,70",E-13103
4027521515857,"Pêseta z wygodnym, miêkkim uchwytem","12,40",E-13104
4027521510920,"Gumki do mazania, Kwiatki","2,70",E-14989
,"Gumki do mazania, Kwiatki i Sushi 1 szt","0,69",E-149891
4027521510913,"Gumki do mazania, Sushi","2,70",E-14991
4027521510739,"Temperówka, Kosmici","4,50",E-15308
4027521510777,"Temperówka, Peace","4,50",E-15323
4027521156982,"Gumka do mazania, Pierœcionki","2,88",E-15698
4027521515406,Gilotyna A4,"47,60",E-15804
